,seconds_elapsed,lighthouse_sync_percentage,nimbus_sync_percentage,prysm_sync_percentage,teku_sync_percentage,minutes_elapsed
0,0.0,0.0,0.0,0.00021572366661201667,0.009201729925225943,0.0
1,12.0,0.055929638321672186,,,0.04200789748472713,0.2
2,24.0,0.16800824688000351,,,,0.4
3,36.0,0.22393788520167568,,,0.08961684796741788,0.6
4,48.0,0.27986752352334787,,,0.11522166167239441,0.8
5,60.00000000000001,0.3919461320816792,,,0.13882609930666964,1.0000000000000002
6,72.0,0.44787577040335136,,,,1.2
7,84.0,0.5599543789616827,,0.27612629326338134,,1.4
8,96.0,0.615884017283355,,0.31776096091950057,0.204438434425672,1.6
9,108.0,0.671813655605027,,,0.21304005152968758,1.8
10,120.00000000000001,0.7277432939266992,,,0.2234420070973343,2.0000000000000004
11,132.0,0.7836729322483714,,,0.23144351138013947,2.2
12,144.0,0.8957515408067027,,0.4698461458809723,,2.4
13,156.0,0.951461847213388,,0.5112650898704796,0.27985261229111075,2.6
14,168.0,1.007610817450047,,,0.30245686189003534,2.8
15,180.0,1.0073914855350603,,0.6074778451794389,0.32866178841622223,3.0
16,192.0,1.0071721536200733,,,0.34746532348081444,3.2
17,204.0,1.008268813195008,,0.7317346771479606,0.37247002436458054,3.4
18,228.0,1.1609238260259251,,0.8283788797901439,0.42568002784523484,3.8
19,240.00000000000003,1.2168534643475972,,0.8836041384428203,0.4518849543714218,4.000000000000001
20,252.00000000000003,1.3289320729059286,,0.9388293970954965,,4.2
21,264.0,1.3846423793126137,,,,4.4
22,276.0,1.440572017634286,,,0.5292995083075619,4.6
23,288.0,1.496720987870945,,1.0906988583903563,0.5569046980832396,4.8
24,300.0,1.5524312942776304,,,0.5825095117882162,5.0
25,312.0,1.6085802645142895,,,,5.2
26,324.0,1.6645099028359618,,1.228762005022047,0.6403203802314835,5.4
27,336.0,1.720439541157634,,1.270180949011554,0.66572515632939,5.6
28,348.0,1.776369179479306,,,0.6919300828555769,5.8
29,360.0,1.8322988178009783,,1.3668251516537377,0.7175348965605534,6.0
30,372.0,1.9441580944443224,,1.422050410306414,0.7455401615503714,6.2
31,384.0,2.0003070646809817,,,,6.4
32,396.0,2.056236703002654,,,0.7739455017543299,6.6
33,408.0,2.111947009409339,,,0.7961496761391141,6.8
34,420.0,2.167876647731011,,1.6015325009276118,0.8229547154865114,7.0
35,432.0,2.28017458820433,,1.6569734832468999,0.8501598300480491,7.2
36,444.0,2.3361042265260017,,,,7.4
37,456.0,2.392033864847674,,,,7.6
38,468.00000000000006,2.4473055074243852,,,,7.800000000000001
39,480.00000000000006,2.503893141491018,,,0.9517789344396745,8.000000000000002
40,492.00000000000006,2.6157524181343628,,,0.9665817173628642,8.200000000000001
41,504.00000000000006,2.671901388371022,,1.864068203194436,,8.4
42,516.0,2.727831026692694,,,1.0177913447728173,8.6
43,528.0,2.839909635251025,,,,8.8
44,540.0,2.8958392735726974,,,1.0682008217544898,9.0
45,552.0,2.9515495799793827,,,1.0882045824615028,9.2
46,564.0,3.0076985502160416,,,,9.4
47,576.0,3.063408856622727,,,,9.6
48,588.0,3.119338494944399,,,1.1586178201501882,9.8
49,600.0,3.2316364354177174,,,1.1680195876824844,10.0
50,612.0,3.2875660737393897,,2.250429290096558,,10.2
51,624.0,3.3294584695018976,,,,10.4
52,636.0,3.385388107823569,,,,10.6
53,648.0,3.4974667163819007,,,,10.8
54,660.0,3.553396354703573,,,1.2930430921013152,11.0
55,672.0,3.6093259930252453,,,1.3186479058062917,11.2
56,684.0,3.7214046015835764,,,,11.4
57,696.0,3.7773342399052487,,,1.3696574956091745,11.6
58,708.0,3.8891935165485934,,2.5541682126862773,1.3908614819586083,11.8
59,720.0,3.945342486785252,,,,12.0
60,732.0,4.001272125106924,,,1.4346697179069665,12.2
61,744.0,4.113350733665256,,,1.4594743811836626,12.4
62,756.0,4.169280371986927,,2.7060376739811374,1.4964813384916364,12.6
