datetime,est_time,speed,distance_in_slots,peers
Oct 07 23:45:38, 4 hrs 44 mins, speed: 26.69 slots/sec,456091, peers: 16
Oct 07 23:45:50, 4 hrs 44 mins, speed: 26.67 slots/sec,455836, peers: 15
Oct 07 23:46:02, 3 hrs 57 mins, speed: 32.00 slots/sec,455325, peers: 22
Oct 07 23:46:14, 4 hrs 44 mins, speed: 26.69 slots/sec,455070, peers: 20
Oct 07 23:46:26, 4 hrs 44 mins, speed: 26.67 slots/sec,454815, peers: 19
Oct 07 23:46:38, 3 hrs 56 mins, speed: 32.00 slots/sec,454304, peers: 23
Oct 07 23:46:50, 4 hrs 43 mins, speed: 26.67 slots/sec,454049, peers: 21
Oct 07 23:47:02, 3 hrs 56 mins, speed: 32.00 slots/sec,453538, peers: 20
Oct 07 23:47:14, 3 hrs 56 mins, speed: 32.00 slots/sec,453283, peers: 20
Oct 07 23:47:26, 4 hrs 43 mins, speed: 26.67 slots/sec,453028, peers: 21
Oct 07 23:47:38, 4 hrs 42 mins, speed: 26.67 slots/sec,452773, peers: 21
Oct 07 23:47:50, 5 hrs 53 mins, speed: 21.33 slots/sec,452518, peers: 28
Oct 07 23:48:02, 4 hrs 42 mins, speed: 26.67 slots/sec,452007, peers: 27
Oct 07 23:48:14, 4 hrs 42 mins, speed: 26.65 slots/sec,451753, peers: 25
Oct 07 23:48:26, 4 hrs 42 mins, speed: 26.67 slots/sec,451497, peers: 24
Oct 07 23:48:38, 5 hrs 52 mins, speed: 21.33 slots/sec,451498, peers: 23
Oct 07 23:48:50, 11 hrs 45 mins, speed: 10.67 slots/sec,451499, peers: 23
Oct 07 23:49:02, 22 hrs 53 mins, speed: 5.48 slots/sec,451494, peers: 21
Oct 07 23:49:14, 1 day 7 hrs, speed: 4.00 slots/sec,451309, peers: 19
Oct 07 23:49:26, 8 hrs 32 mins, speed: 14.67 slots/sec,450798, peers: 22
Oct 07 23:49:38, 6 hrs 15 mins, speed: 20.00 slots/sec,450543, peers: 20
Oct 07 23:49:50, 4 hrs 5 mins, speed: 30.54 slots/sec,450032, peers: 20
Oct 07 23:50:02, 3 hrs 54 mins, speed: 31.98 slots/sec,449778, peers: 19
Oct 07 23:50:14, 4 hrs 41 mins, speed: 26.65 slots/sec,449523, peers: 20
Oct 07 23:50:26, 4 hrs 40 mins, speed: 26.67 slots/sec,449267, peers: 19
Oct 07 23:50:38, 5 hrs 51 mins, speed: 21.31 slots/sec,449013, peers: 19
Oct 07 23:50:50, 5 hrs 50 mins, speed: 21.36 slots/sec,448757, peers: 19
Oct 07 23:51:02, 5 hrs 50 mins, speed: 21.36 slots/sec,448502, peers: 23
Oct 07 23:51:14, 5 hrs 50 mins, speed: 21.33 slots/sec,448247, peers: 28
Oct 07 23:51:26, 5 hrs 49 mins, speed: 21.36 slots/sec,447992, peers: 27
Oct 07 23:51:38, 5 hrs 49 mins, speed: 21.33 slots/sec,447737, peers: 25
Oct 07 23:51:50, 4 hrs 39 mins, speed: 26.65 slots/sec,447227, peers: 27
Oct 07 23:52:02, 4 hrs 39 mins, speed: 26.67 slots/sec,446971, peers: 25
Oct 07 23:52:14, 4 hrs 39 mins, speed: 26.67 slots/sec,446716, peers: 30
Oct 07 23:52:26, 4 hrs 39 mins, speed: 26.65 slots/sec,446462, peers: 27
Oct 07 23:52:38, 5 hrs 48 mins, speed: 21.33 slots/sec,446207, peers: 26
Oct 07 23:52:50, 4 hrs 38 mins, speed: 26.67 slots/sec,445695, peers: 28
Oct 07 23:53:02, 4 hrs 38 mins, speed: 26.67 slots/sec,445440, peers: 28
Oct 07 23:53:14, 4 hrs 38 mins, speed: 26.69 slots/sec,445185, peers: 28
Oct 07 23:53:26, 4 hrs 38 mins, speed: 26.63 slots/sec,444933, peers: 26
Oct 07 23:53:38, 5 hrs 47 mins, speed: 21.33 slots/sec,444675, peers: 29
Oct 07 23:53:50, 4 hrs 37 mins, speed: 26.65 slots/sec,444165, peers: 29
Oct 07 23:54:02, 4 hrs 37 mins, speed: 26.67 slots/sec,443909, peers: 28
Oct 07 23:54:14, 4 hrs 36 mins, speed: 26.73 slots/sec,443654, peers: 27
Oct 07 23:54:26, 3 hrs 50 mins, speed: 32.00 slots/sec,443143, peers: 26
Oct 07 23:54:38, 4 hrs 36 mins, speed: 26.69 slots/sec,442888, peers: 27
Oct 07 23:54:50, 4 hrs 36 mins, speed: 26.65 slots/sec,442634, peers: 26
Oct 07 23:55:02, 4 hrs 36 mins, speed: 26.67 slots/sec,442378, peers: 24
Oct 07 23:55:14, 5 hrs 45 mins, speed: 21.31 slots/sec,442124, peers: 23
Oct 07 23:55:26, 5 hrs 45 mins, speed: 21.31 slots/sec,441869, peers: 22
Oct 07 23:55:38, 4 hrs 35 mins, speed: 26.69 slots/sec,441357, peers: 20
Oct 07 23:55:50, 4 hrs 35 mins, speed: 26.67 slots/sec,441102, peers: 23
Oct 07 23:56:02, 4 hrs 49 mins, speed: 25.36 slots/sec,440911, peers: 20
Oct 07 23:56:14, 4 hrs 49 mins, speed: 25.36 slots/sec,440656, peers: 21
Oct 07 23:56:26, 4 hrs 49 mins, speed: 25.33 slots/sec,440145, peers: 20
Oct 07 23:56:38, 4 hrs 49 mins, speed: 25.33 slots/sec,439890, peers: 19
Oct 07 23:56:50, 4 hrs 34 mins, speed: 26.67 slots/sec,439635, peers: 19
Oct 07 23:57:02, 3 hrs 48 mins, speed: 32.00 slots/sec,439124, peers: 17
Oct 07 23:57:14, 4 hrs 34 mins, speed: 26.67 slots/sec,438869, peers: 16
Oct 07 23:57:26, 3 hrs 48 mins, speed: 31.98 slots/sec,438359, peers: 16
Oct 07 23:57:38, 3 hrs 48 mins, speed: 32.00 slots/sec,438103, peers: 14
Oct 07 23:57:50, 4 hrs 33 mins, speed: 26.67 slots/sec,437848, peers: 20
Oct 07 23:58:02, 3 hrs 47 mins, speed: 32.00 slots/sec,437337, peers: 21
Oct 07 23:58:14, 4 hrs 32 mins, speed: 26.69 slots/sec,437082, peers: 26
Oct 07 23:58:26, 4 hrs 33 mins, speed: 26.67 slots/sec,436827, peers: 25
Oct 07 23:58:38, 3 hrs 47 mins, speed: 32.00 slots/sec,436316, peers: 24
Oct 07 23:58:50, 4 hrs 32 mins, speed: 26.63 slots/sec,436063, peers: 22
Oct 07 23:59:02, 4 hrs 32 mins, speed: 26.67 slots/sec,435806, peers: 21
Oct 07 23:59:14, 3 hrs 46 mins, speed: 32.00 slots/sec,435295, peers: 20
Oct 07 23:59:26, 4 hrs 32 mins, speed: 26.65 slots/sec,435041, peers: 21
Oct 07 23:59:38, 3 hrs 46 mins, speed: 32.04 slots/sec,434529, peers: 19
Oct 07 23:59:50, 3 hrs 46 mins, speed: 32.00 slots/sec,434274, peers: 19
Oct 08 00:00:02, 3 hrs 45 mins, speed: 32.00 slots/sec,433763, peers: 19
Oct 08 00:00:14, 3 hrs 45 mins, speed: 32.02 slots/sec,433508, peers: 18
Oct 08 00:00:26, 3 hrs 45 mins, speed: 32.00 slots/sec,432997, peers: 22
Oct 08 00:00:38, 3 hrs 45 mins, speed: 31.98 slots/sec,432743, peers: 22
Oct 08 00:00:50, 3 hrs 45 mins, speed: 32.00 slots/sec,432231, peers: 21
Oct 08 00:01:02, 3 hrs 12 mins, speed: 37.29 slots/sec,431722, peers: 20
Oct 08 00:01:14, 3 hrs 44 mins, speed: 31.98 slots/sec,431466, peers: 18
Oct 08 00:01:26, 3 hrs 44 mins, speed: 32.02 slots/sec,431210, peers: 22
Oct 08 00:01:38, 3 hrs 44 mins, speed: 32.00 slots/sec,430699, peers: 27
Oct 08 00:01:50, 5 hrs 35 mins, speed: 21.38 slots/sec,430700, peers: 27
Oct 08 00:02:02, 4 hrs 42 mins, speed: 25.36 slots/sec,430253, peers: 26
Oct 08 00:02:14, 4 hrs 43 mins, speed: 25.31 slots/sec,429999, peers: 25
Oct 08 00:02:26, 4 hrs 42 mins, speed: 25.33 slots/sec,429487, peers: 27
Oct 08 00:02:38, 3 hrs 53 mins, speed: 30.65 slots/sec,429233, peers: 27
Oct 08 00:02:50, 3 hrs 43 mins, speed: 32.00 slots/sec,428721, peers: 31
Oct 08 00:03:02, 3 hrs 43 mins, speed: 32.02 slots/sec,428466, peers: 29
Oct 08 00:03:14, 3 hrs 42 mins, speed: 32.00 slots/sec,427955, peers: 28
Oct 08 00:03:26, 3 hrs 42 mins, speed: 31.98 slots/sec,427702, peers: 32
Oct 08 00:03:38, 3 hrs 42 mins, speed: 32.00 slots/sec,427189, peers: 30
Oct 08 00:03:50, 3 hrs 10 mins, speed: 37.33 slots/sec,426678, peers: 29
Oct 08 00:04:02, 3 hrs 42 mins, speed: 32.00 slots/sec,426423, peers: 28
Oct 08 00:04:14, 3 hrs 41 mins, speed: 32.02 slots/sec,426169, peers: 33
Oct 08 00:04:26, 3 hrs 41 mins, speed: 32.00 slots/sec,425657, peers: 31
Oct 08 00:04:38, 4 hrs 25 mins, speed: 26.67 slots/sec,425402, peers: 31
Oct 08 00:04:50, 3 hrs 41 mins, speed: 31.98 slots/sec,424892, peers: 31
Oct 08 00:05:02, 3 hrs 41 mins, speed: 32.02 slots/sec,424636, peers: 28
Oct 08 00:05:14, 3 hrs 40 mins, speed: 32.00 slots/sec,424125, peers: 30
Oct 08 00:05:26, 3 hrs 40 mins, speed: 32.00 slots/sec,423870, peers: 28
Oct 08 00:05:38, 3 hrs 40 mins, speed: 32.02 slots/sec,423359, peers: 27
Oct 08 00:05:50, 3 hrs 40 mins, speed: 32.00 slots/sec,423104, peers: 25
Oct 08 00:06:02, 4 hrs 24 mins, speed: 26.67 slots/sec,422849, peers: 25
Oct 08 00:06:14, 4 hrs 24 mins, speed: 26.67 slots/sec,422594, peers: 25
Oct 08 00:06:26, 5 hrs 30 mins, speed: 21.31 slots/sec,422340, peers: 28
Oct 08 00:06:38, 4 hrs 23 mins, speed: 26.67 slots/sec,421828, peers: 27
