ts,msg,scheduledSlot,peers,headEpoch,finalizedEpoch,slot
2020-10-10 00:07:08.001+00:00,Slot start,478535,6,13827,13824,
2020-10-10 00:07:08.017+00:00,Slot end,,,13827,13824,478535
2020-10-10 00:07:09.764+00:00,"Syncing process is not progressing, reset the queue",,,,,
2020-10-10 00:07:20.023+00:00,Slot start,478536,7,13827,13824,
2020-10-10 00:07:20.032+00:00,Slot end,,,13827,13824,478536
2020-10-10 00:07:21.765+00:00,"Syncing process is not progressing, reset the queue",,,,,
2020-10-10 00:07:36.213+00:00,Slot start,478537,4,13828,13826,
2020-10-10 00:07:36.222+00:00,Slot end,,,13828,13826,478537
2020-10-10 00:07:44.048+00:00,Slot start,478538,3,13828,13826,
2020-10-10 00:07:44.057+00:00,Slot end,,,13828,13826,478538
2020-10-10 00:07:56.021+00:00,Slot start,478539,1,13829,13827,
2020-10-10 00:07:56.030+00:00,Slot end,,,13829,13827,478539
2020-10-10 00:08:08.020+00:00,Slot start,478540,4,13829,13827,
2020-10-10 00:08:08.029+00:00,Slot end,,,13829,13827,478540
2020-10-10 00:08:20.023+00:00,Slot start,478541,6,13830,13828,
2020-10-10 00:08:20.033+00:00,Slot end,,,13830,13828,478541
2020-10-10 00:08:32.258+00:00,Slot start,478542,5,13831,13829,
2020-10-10 00:08:32.267+00:00,Slot end,,,13831,13829,478542
2020-10-10 00:08:44.030+00:00,Slot start,478543,3,13831,13829,
2020-10-10 00:08:44.040+00:00,Slot end,,,13831,13829,478543
2020-10-10 00:08:49.453+00:00,"Syncing process is not progressing, reset the queue",,,,,
2020-10-10 00:08:56.022+00:00,Slot start,478544,2,13831,13829,
2020-10-10 00:08:56.031+00:00,Slot end,,,13831,13829,478544
2020-10-10 00:09:08.109+00:00,Slot start,478545,4,13832,13830,
2020-10-10 00:09:08.118+00:00,Slot end,,,13832,13830,478545
2020-10-10 00:09:20.165+00:00,Slot start,478546,5,13833,13830,
2020-10-10 00:09:20.175+00:00,Slot end,,,13833,13830,478546
2020-10-10 00:09:32.081+00:00,Slot start,478547,6,13834,13831,
2020-10-10 00:09:32.090+00:00,Slot end,,,13834,13831,478547
