activePeers,direction,level,msg,current_slot,max_slot,estimated_time_remaining,multiAddr,prefix,time,required,suitable,blocksPerSecond,peers,root,slot
3,2,info,Peer connected,,,,/ip4/206.189.196.155/tcp/9000/p2p/16Uiu2HAm2c7yRV1acx3NQSd7VDy7157ZnxZqnVo4uY9umJhBYCe8,p2p,2020-10-07T14:11:03Z,,,,,,
,,info,Waiting for enough suitable peers before syncing,,,,,initial-sync,2020-10-07T14:11:07Z,3,1,,,,
5,2,info,Peer connected,,,,/ip4/159.203.165.140/tcp/9000/p2p/16Uiu2HAm6n57ZBXvF35QypVKyEJjMmGNQta3CwLA5DJ2cYMKGUXb,p2p,2020-10-07T14:11:08Z,,,,,,
5,2,info,Peer connected,,,,/ip4/3.132.193.49/tcp/9000/p2p/16Uiu2HAmDozn3ksBmKS83i9KD6QETymzPCTw9ZxszGYvmKxfDmDK,p2p,2020-10-07T14:11:08Z,,,,,,
5,2,info,Peer connected,,,,/ip4/101.179.14.213/tcp/9000/p2p/16Uiu2HAkyCHSSL8qBG9pzHXfFWZMoGKiYeKQ3epTwC68UzeCTvuf,p2p,2020-10-07T14:11:09Z,,,,,,
7,2,info,Peer connected,,,,/ip4/145.132.173.251/tcp/9040/p2p/16Uiu2HAm1TZ4jyney42Cjoqzhh1Nn789tMUkrTKVWnqNhaJArLbo,p2p,2020-10-07T14:11:10Z,,,,,,
7,2,info,Peer connected,,,,/ip4/45.77.124.125/tcp/9000/p2p/16Uiu2HAkvmijirSgjzau6Ajm7YNT3axj8T1z62QTZgFgcVeWjEhz,p2p,2020-10-07T14:11:13Z,,,,,,
8,2,info,Peer connected,,,,/ip4/172.104.224.249/tcp/9000/p2p/16Uiu2HAm9wCgd9yoQEFdcjRzh7dPeXBhBSJESaEqECqgCippebDy,p2p,2020-10-07T14:11:15Z,,,,,,
10,2,info,Peer connected,,,,/ip4/67.52.7.242/tcp/13011/p2p/16Uiu2HAm4U8fnkxgxg88VRLoDustnnME5Ui2oYLxmRme8VGyfT8v,p2p,2020-10-07T14:11:15Z,,,,,,
11,2,info,Peer connected,,,,/ip4/77.21.86.116/tcp/9000/p2p/16Uiu2HAmFYMVzKz9wC2JfiMPZodA322v5iV9HAwnETnwHM5m53Gy,p2p,2020-10-07T14:11:18Z,,,,,,
,,info,Processing block batch of size 44 starting from  0x4f042e61,1,461155, 58h13m35s,,initial-sync,2020-10-07T14:11:19Z,,,2.2,9,,
11,2,info,Peer connected,,,,/ip4/40.77.27.225/tcp/9000/p2p/16Uiu2HAmHA4qmKBmjnaYwacoymtrRLjZgFEnM8YPWvXDN2AnsdBL,p2p,2020-10-07T14:11:21Z,,,,,,
,,info,Processing block batch of size 35 starting from  0xe88d6f52,68,461156, 32h25m31s,,initial-sync,2020-10-07T14:11:23Z,,,4,10,,
,,info,Processing block batch of size 39 starting from  0x98485ccb,128,461156, 21h42m20s,,initial-sync,2020-10-07T14:11:26Z,,,5.9,10,,
,,info,Processing block batch of size 46 starting from  0x5ce25fca,192,461156, 15h36m55s,,initial-sync,2020-10-07T14:11:30Z,,,8.2,10,,
11,2,info,Peer connected,,,,/ip4/82.248.90.211/tcp/9000/p2p/16Uiu2HAkyEXSWqhgTweFi7GJcW3VZcoEn2qjMUZK3sAwXz4NsRC8,p2p,2020-10-07T14:11:32Z,,,,,,
12,2,info,Peer connected,,,,/ip4/68.185.171.253/tcp/13000/p2p/16Uiu2HAkuU5bTBws63H62MogsAzyP53bNX4PbyAPZbHWUroZq3T5,p2p,2020-10-07T14:11:32Z,,,,,,
,,info,Processing block batch of size 40 starting from  0x7ceb113d,257,461157, 12h33m6s,,initial-sync,2020-10-07T14:11:33Z,,,10.2,12,,
