datetime,current_slot,head_slot,connected_peer
Oct-11 23:10:56,492654,46,7
Oct-11 23:11:08,492655,210,7
Oct-11 23:11:21,492656,352,6
Oct-11 23:11:32,492657,448,5
Oct-11 23:11:44,492658,576,4
Oct-11 23:11:56,492659,694,7
Oct-11 23:12:09,492660,694,6
Oct-11 23:12:21,492661,928,6
Oct-11 23:12:32,492662,1022,8
Oct-11 23:12:44,492663,1065,8
Oct-11 23:12:56,492664,1117,8
Oct-11 23:13:08,492665,1157,7
Oct-11 23:13:21,492666,1157,6
Oct-11 23:13:32,492667,1399,7
Oct-11 23:13:44,492668,1512,7
Oct-11 23:13:56,492669,1643,7
Oct-11 23:14:08,492670,1737,7
Oct-11 23:14:20,492671,1862,7
Oct-11 23:14:34,492672,1862,9
Oct-11 23:14:44,492673,2128,8
Oct-11 23:14:56,492674,2259,9
Oct-11 23:15:09,492675,2259,8
Oct-11 23:15:21,492676,2259,7
Oct-11 23:15:32,492677,2646,7
Oct-11 23:15:44,492678,2784,7
Oct-11 23:15:56,492679,2912,6
Oct-11 23:16:09,492680,3072,5
Oct-11 23:16:20,492681,3201,4
Oct-11 23:16:32,492682,3328,7
Oct-11 23:16:44,492683,3459,6
Oct-11 23:16:56,492684,3587,6
Oct-11 23:17:08,492685,3727,8
Oct-11 23:17:22,492686,3780,9
Oct-11 23:17:32,492687,3869,8
Oct-11 23:17:44,492688,3980,6
Oct-11 23:17:56,492689,4114,7
Oct-11 23:18:08,492690,4250,7
Oct-11 23:18:21,492691,4250,6
Oct-11 23:18:33,492692,4513,6
Oct-11 23:18:45,492693,4640,6
Oct-11 23:18:56,492694,4758,5
Oct-11 23:19:08,492695,4832,7
Oct-11 23:19:21,492696,4975,6
Oct-11 23:19:32,492697,5088,8
Oct-11 23:19:45,492698,5216,7
Oct-11 23:19:56,492699,5340,7
Oct-11 23:20:08,492700,5440,7
Oct-11 23:20:21,492701,5568,7
Oct-11 23:20:33,492702,5568,7
Oct-11 23:20:44,492703,5792,7
Oct-11 23:20:56,492704,5839,8
Oct-11 23:21:09,492705,5965,8
Oct-11 23:21:21,492706,5965,8
Oct-11 23:21:33,492707,6208,8
Oct-11 23:21:45,492708,6344,8
Oct-11 23:21:56,492709,6464,7
Oct-11 23:22:08,492710,6592,7
Oct-11 23:22:21,492711,6724,7
Oct-11 23:22:32,492712,6847,8
Oct-11 23:22:44,492713,6953,8
Oct-11 23:22:57,492714,7072,8
Oct-11 23:23:08,492715,7172,8
Oct-11 23:23:20,492716,7296,7
Oct-11 23:23:32,492717,7481,7
Oct-11 23:23:44,492718,7616,7
Oct-11 23:23:56,492719,7744,7
Oct-11 23:24:08,492720,7889,7
Oct-11 23:24:20,492721,7974,7
Oct-11 23:24:33,492722,8033,7
Oct-11 23:24:44,492723,8105,7
Oct-11 23:24:56,492724,8225,7
Oct-11 23:25:09,492725,8352,7
Oct-11 23:25:20,492726,8457,7
Oct-11 23:25:33,492727,8576,7
Oct-11 23:25:45,492728,8576,7
Oct-11 23:25:56,492729,8831,7
Oct-11 23:26:08,492730,8929,7
Oct-11 23:26:21,492731,8929,7
Oct-11 23:26:32,492732,9152,7
Oct-11 23:26:45,492733,9152,7
Oct-11 23:26:56,492734,9344,7
Oct-11 23:27:08,492735,9472,7
Oct-11 23:27:21,492736,9600,7
Oct-11 23:27:33,492737,9728,6
Oct-11 23:27:44,492738,9856,9
Oct-11 23:27:56,492739,9952,9
Oct-11 23:28:08,492740,10080,8
Oct-11 23:28:20,492741,10208,7
Oct-11 23:28:33,492742,10336,7
Oct-11 23:28:45,492743,10464,7
Oct-11 23:28:56,492744,10587,8
Oct-11 23:29:08,492745,10689,7
Oct-11 23:29:21,492746,10689,6
Oct-11 23:29:32,492747,10912,7
Oct-11 23:29:45,492748,11008,7
Oct-11 23:29:56,492749,11122,7
Oct-11 23:30:09,492750,11232,6
Oct-11 23:30:20,492751,11328,6
Oct-11 23:30:33,492752,11328,9
Oct-11 23:30:44,492753,11553,8
Oct-11 23:30:57,492754,11553,9
Oct-11 23:31:08,492755,11798,8
Oct-11 23:31:21,492756,11904,8
Oct-11 23:31:32,492757,11986,9
Oct-11 23:31:44,492758,12096,9
Oct-11 23:31:57,492759,12096,11
Oct-11 23:32:08,492760,12351,10
Oct-11 23:32:21,492761,12351,10
Oct-11 23:32:33,492762,12544,10
Oct-11 23:32:45,492763,12673,10
Oct-11 23:32:56,492764,12768,10
Oct-11 23:33:09,492765,12897,9
Oct-11 23:33:20,492766,12993,9
Oct-11 23:33:32,492767,13107,9
Oct-11 23:33:45,492768,13217,9
Oct-11 23:33:56,492769,13321,9
Oct-11 23:34:08,492770,13440,9
Oct-11 23:34:20,492771,13568,9
Oct-11 23:34:33,492772,13697,9
Oct-11 23:34:44,492773,13821,9
Oct-11 23:34:56,492774,13930,9
Oct-11 23:35:09,492775,13930,9
Oct-11 23:35:20,492776,14152,9
Oct-11 23:35:32,492777,14271,9
Oct-11 23:35:46,492778,14271,9
Oct-11 23:35:57,492779,14464,9
Oct-11 23:36:09,492780,14562,9
Oct-11 23:36:20,492781,14656,9
Oct-11 23:36:32,492782,14769,10
Oct-11 23:36:45,492783,14891,10
Oct-11 23:36:57,492784,14985,10
Oct-11 23:37:10,492785,14985,10
Oct-11 23:37:20,492786,15155,10
Oct-11 23:37:33,492787,15155,10
Oct-11 23:37:45,492788,15362,10
Oct-11 23:37:56,492789,15469,11
Oct-11 23:38:09,492790,15469,11
Oct-11 23:38:20,492791,15680,11
Oct-11 23:38:32,492792,15796,11
Oct-11 23:38:45,492793,15796,11
Oct-11 23:38:56,492794,16015,11
Oct-11 23:39:08,492795,16128,11
Oct-11 23:39:20,492796,16246,11
Oct-11 23:39:33,492797,16354,11
Oct-11 23:39:44,492798,16459,11
Oct-11 23:39:57,492799,16586,11
Oct-11 23:40:09,492800,16704,11
